Campaign Name,Campaign ID,Type,Spent,Impressions,Clicks,Conversions,Actual CPA,Conversion Rate,Actual CPC,Estimated Daily Cap,CTR,CPM,Value,ROAS,Pacing
TeamViewer Q3 Awareness Campaign 287733,46361796,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Test,49236932,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Test Syndicated 2026 (AdBook Drop ID 8723246),49699158,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Test_J&J,50026277,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Test_UoM_PV,50002539,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Visit California_Los Angeles 2.0_Q2 2025_4005_PV,45600573,Native,"4,469.47","4,377,794","42,284",0,"'-",0%,0.106,0.00,0.97%,1.02,0.00,0%,
Visit Washington D.C,45192320,Native,"2,397.15","1,083,658","28,580",2,"1,198.575",0.01%,0.084,0.00,2.64%,2.21,0.00,0%,
test,49003469,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
test TB_300327_7143_New-Model-Launch_Q3_2026_PV_test_27thjuly,50022118,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
 269740_Bottega Veneta | Literary Travels ,45310678,Native,"1,951.48","2,399,566","16,226",0,"'-",0%,0.120,0.00,0.68%,0.81,0.00,0%,
